defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/HP_0012767	Abnormal placental size	http://purl.obolibrary.org/obo/UBERON_0001987	placenta
http://purl.obolibrary.org/obo/HP_0040257	Abnormal size of nasopharyngeal adenoids	http://purl.obolibrary.org/obo/UBERON_0001732	pharyngeal tonsil
http://purl.obolibrary.org/obo/HP_0012504	Abnormal size of pituitary gland	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/HP_0040252	Abnormal size of the clitoris	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris
http://purl.obolibrary.org/obo/HP_0200007	Abnormal size of the palpebral fissures	http://purl.obolibrary.org/obo/UBERON_0001819	palpebral fissure
http://purl.obolibrary.org/obo/HP_0040220	Abnormal size the dental root	http://purl.obolibrary.org/obo/UBERON_0003677	tooth root
http://purl.obolibrary.org/obo/HP_0012693	Abnormal thalamic size	http://purl.obolibrary.org/obo/UBERON_0004703	dorsal thalamus
http://purl.obolibrary.org/obo/HP_0001120	Abnormality of corneal size	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/HP_0100887	Abnormality of globe size	http://purl.obolibrary.org/obo/UBERON_0010230	eyeball of camera-type eye
http://purl.obolibrary.org/obo/HP_0011337	Abnormality of mouth size	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
http://purl.obolibrary.org/obo/HP_0012084	Abnormality of skeletal muscle fiber size	http://purl.obolibrary.org/obo/CL_0008002	skeletal muscle fiber
http://purl.obolibrary.org/obo/HP_0000240	Abnormality of skull size	http://purl.obolibrary.org/obo/UBERON_0003129	skull
http://purl.obolibrary.org/obo/HP_0004823	Anisopoikilocytosis	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte